Language,Algorithm,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
C,oddevensort,25000,2.027832,0.798645,0.011047,38.456,0.105831
C,oddevensort,50000,3.498718,1.420410,0.016235,43.396,0.178164
C,quicksort,25000,2.978088,1.225708,0.016907,38.196,0.150906
C,quicksort,50000,3.445679,1.426331,0.015869,43.14,0.173338
C,selectionsort,25000,2.013550,0.818420,0.016357,37.948,0.101511
C,selectionsort,50000,2.879395,1.153748,0.014648,42.744,0.148516
C++,bubblesort,25000,10.904846,4.571777,0.031494,85.816,0.547523
C++,bubblesort,50000,12.693420,5.304749,0.026489,100.096,0.641882
C++,cyclesort,25000,10.971741,4.613953,0.020813,85.8,0.550176
C++,cyclesort,50000,12.158447,5.113403,0.026306,99.596,0.612095
C++,heapsort,25000,10.637451,4.495850,0.016907,85.856,0.534996
C++,heapsort,50000,12.766418,5.352112,0.018250,98.348,0.64449
C++,insertionsort,25000,10.697693,4.494202,0.019714,85.224,0.540474
C++,insertionsort,50000,11.771301,4.939331,0.028931,98.172,0.594262
C++,mergesort,25000,11.778625,4.948792,0.017944,87.432,0.594619
C++,mergesort,50000,13.547913,5.663452,0.029846,100.82,0.684102
C++,oddevensort,25000,10.837830,4.566895,0.019531,86.436,0.544931
C++,oddevensort,50000,11.675415,4.902161,0.017883,99.708,0.588087
C++,quicksort,25000,11.156677,4.713745,0.016724,85.572,0.560854
C++,quicksort,50000,12.779419,5.350098,0.025146,97.4,0.644523
C++,selectionsort,25000,11.063171,4.590576,0.028381,85.704,0.562229
C++,selectionsort,50000,11.942871,5.037964,0.020996,97.996,0.599535
C#,bubblesort,25000,12.133606,5.140686,0.014893,65.216,0.609456
C#,bubblesort,50000,13.383972,5.638611,0.010925,67.952,0.675884
C#,cyclesort,25000,12.609070,5.341064,0.010681,63.156,0.634571
C#,cyclesort,50000,13.143982,5.531067,0.015381,71.5,0.663955
C#,heapsort,25000,12.236938,5.132324,0.023865,61.292,0.61794
C#,heapsort,50000,12.989746,5.466248,0.019043,69.652,0.656572
C#,insertionsort,25000,12.637085,5.359009,0.011047,67.284,0.634664
C#,insertionsort,50000,13.391724,5.683105,0.010193,67.78,0.672765
C#,mergesort,25000,12.130920,5.108643,0.020752,67.512,0.610275
C#,mergesort,50000,13.384583,5.649048,0.013733,70.016,0.674678
C#,oddevensort,25000,12.812500,5.371033,0.021912,67.304,0.646682
C#,oddevensort,50000,12.958679,5.443420,0.015747,65.664,0.654432
C#,quicksort,25000,12.138489,5.136719,0.009644,63.304,0.612477
C#,quicksort,50000,13.369812,5.633301,0.010925,67.78,0.676567
C#,selectionsort,25000,12.727173,5.379822,0.014587,65.428,0.641287
